Row	Column	Assay	Sample		Conc	Ct	Tm	Expected Tm	R2	Chi2	Straight R2	Efficiency	Multiple peaks	Outlier	Multimodal melt peaks	F0	Flags	S-DispenseTip	S-DropIndex	S-GlobalDropIndex	S-SP-Well	A-DispenseTip	A-DropIndex	A-GlobalDropIndex	A-SP-Well	Asymmetry	A	B	C	D	E	AmpRatio	Tm minus mean	Ct minus mean
0	0	AY1	1A-rep1		-1	24.34061	81.65199		0.9999722	7077.23	0.7664386	1.92026	FALSE	FALSE	FALSE	4.87E-05										11	3199.036	1.401592	27.18645	12917.04	-1.625777	5.03779		
0	1	AY1	1A-rep2		-1	24.9371	81.83711		0.9999847	2003.349	0.751115	1.974489	FALSE	FALSE	FALSE	1.16E-05										15	3255.776	1.34878	27.71339	9725.615	8.859668	3.987188		
0	2	AY1	1A-rep3		-1	23.74484	81.02742		0.9989588	613.9025	0.7457823	1.577706	FALSE	FALSE	FALSE	0.000469959	LowEfficiency. SaturationBaselineRatioIsLow									5	1628.882	1.94913	27.31176	572.1612	8.011043	1.35126		
0	6	AY1	5B-rep1		-1	11.70915	82.10334		0.999734	82931.13	0.7069842	1.965782	FALSE	FALSE	FALSE	0.2673521										18	11079.82	1.356883	14.49611	11663.59	50.41265	2.052687		
0	7	AY1	5B-rep2		-1	11.82812	82.1352		0.9998016	69301.2	0.7175711	1.992756	FALSE	FALSE	FALSE	0.2184298										17	11287.68	1.332218	14.58259	12392.32	50.93796	2.097862		
0	8	AY1	5B-rep3		-1	11.54908	81.99991		0.999787	58112.89	0.6824997	2.016798	FALSE	FALSE	FALSE	0.1965502										16	12329.35	1.311273	14.27597	10512.12	65.7103	1.852609		
0	9	AY1	8B-rep1		-1	13.06435	82.03759		0.9998947	29361.49	0.7248942	2.014796	FALSE	FALSE	FALSE	0.07379836										21	10568.87	1.312981	15.7935	12361.2	32.43566	2.169586		
0	10	AY1	8B-rep2		-1	13.56618	82.03612		0.9999186	22960.25	0.7262957	2.061815	FALSE	FALSE	FALSE	0.0378028										24	8899.698	1.274459	16.24459	12976.44	34.12959	2.458076		
0	11	AY1	8B-rep3		-1	14.2137	81.93058		0.9999445	9005.965	0.7690672	1.989325	FALSE	FALSE	FALSE	0.03397994										9	5637.707	1.335285	16.97222	11255.14	5.964943	2.996404		
9	24	AY10	1A-rep1														NoAmplification																	
9	25	AY10	1A-rep2														CtIsLarge. CurveFitFailed																	
9	26	AY10	1A-rep3														NoAmplification																	
9	30	AY10	5B-rep1														NoAmplification																	
9	31	AY10	5B-rep2														NoAmplification																	
9	32	AY10	5B-rep3														NoAmplification																	
9	33	AY10	8B-rep1														NoAmplification																	
9	34	AY10	8B-rep2														NoAmplification																	
9	35	AY10	8B-rep3														NoAmplification																	
29	0	AY100	1A-rep1														NoAmplification																	
29	1	AY100	1A-rep2														NoAmplification																	
29	2	AY100	1A-rep3														NoAmplification																	
29	6	AY100	5B-rep1		-1	21.03605	83.98979		0.9999728	5666.872	0.8319973	1.891025	FALSE	FALSE	FALSE	0.000726369										17	9598.468	1.432575	23.92269	12985.96	-1.834226	2.352921		
29	7	AY100	5B-rep2		-1	21.27135	83.97816		0.999956	12586.04	0.8368735	1.909942	FALSE	FALSE	FALSE	0.000508955										7	9214.477	1.412312	24.1313	13402.96	16.56216	2.454555		
29	8	AY100	5B-rep3		-1	22.06486	83.91061		0.9999736	6040.525	0.8202378	1.92767	FALSE	FALSE	FALSE	0.000235202										10	6908.896	1.394032	24.90074	13457.82	-0.7446318	2.947897		
29	9	AY100	8B-rep1		-1	28.93297	83.91318		0.9999819	6059.728	0.6253185	1.905978	FALSE	FALSE	FALSE	2.87E-06										10	8052.083	1.416492	31.79843	16092.67	-2.343152	2.998573		
29	10	AY100	8B-rep2		-1	29.8422	84.35609		0.9999707	5587.994	0.5474141	1.862451	FALSE	FALSE	FALSE	2.41E-06	CtIsLarge									9	7415.969	1.464776	32.77124	12555.69	-28.61784	2.693061		
29	11	AY100	8B-rep3		-1	34.29361	78.91383		0.9999824	2201.629	0.3847835	1.947888	FALSE	FALSE	FALSE	2.40E-08	CtIsLarge									9	5996.194	1.373974	37.10308	12821.73	5.308241	3.138311		
38	0	AY101	1A-rep1														NoAmplification																	
38	1	AY101	1A-rep2														NoAmplification																	
38	2	AY101	1A-rep3														NoAmplification																	
38	6	AY101	5B-rep1		-1	18.0583	83.07285		0.9999032	9084.895	0.8433297	1.977937	FALSE	FALSE	FALSE	0.001575694	SaturationBaselineRatioIsLow									7	12791.67	1.34561	20.83041	8326.656	9.604625	1.650944		
38	7	AY101	5B-rep2		-1	17.54699	83.02519		0.9996286	34426.45	0.8479984	1.940587	FALSE	FALSE	FALSE	0.003156424	SaturationBaselineRatioIsLow									15	13532.99	1.381123	20.36587	8002.901	-6.372323	1.591363		
38	8	AY101	5B-rep3		-1	18.701	82.94763		0.999692	26409.05	0.8598574	1.918112	FALSE	FALSE	FALSE	0.001690021	SaturationBaselineRatioIsLow									8	11131.21	1.403805	21.54975	7847.476	-0.5135054	1.704997		
38	9	AY101	8B-rep1		-1	25.27962	82.89516		0.9998789	10551.95	0.7135722	1.866083	FALSE	FALSE	FALSE	3.25E-05										13	9779.552	1.460571	28.20313	7895.096	-21.66129	1.807307		
38	10	AY101	8B-rep2		-1	25.62205	82.9148		0.999703	26349.45	0.7019994	1.876182	FALSE	FALSE	FALSE	2.38E-05	SaturationBaselineRatioIsLow									9	11445.7	1.449054	28.53039	8462.248	-36.25557	1.739338		
38	11	AY101	8B-rep3		-1	25.08681	82.92639		0.9998987	9975.211	0.7298883	1.865619	FALSE	FALSE	FALSE	3.94E-05										7	9900.733	1.461107	28.01102	8346.827	-35.52569	1.843051		
47	0	AY102	1A-rep1														NoAmplification																	
47	1	AY102	1A-rep2														NoAmplification																	
47	2	AY102	1A-rep3														NoAmplification																	
47	6	AY102	5B-rep1		-1	27.01974	79.14613		0.9999216	12553.99	0.6994679	1.829929	FALSE	FALSE	FALSE	2.27E-05										7	9655.501	1.503976	30.00042	10446.93	-22.08839	2.081967		
47	7	AY102	5B-rep2		-1	27.46618	79.01016		0.9999425	10045.07	0.6904584	1.918337	FALSE	FALSE	FALSE	4.56E-06										10	9383.089	1.403573	30.31462	10927.58	-5.583276	2.164604		
47	8	AY102	5B-rep3		-1	27.32124	79.13047		0.9999502	10843.85	0.6843887	1.874076	FALSE	FALSE	FALSE	1.10E-05										11	6206.432	1.451435	30.23272	12184.94	-7.726534	2.963276		
47	9	AY102	8B-rep1														CtIsLarge. CurveFitFailed																	
47	10	AY102	8B-rep2														NoAmplification																	
47	11	AY102	8B-rep3														CtIsLarge. CurveFitFailed																	
56	0	AY103	1A-rep1														NoAmplification																	
56	1	AY103	1A-rep2														NoAmplification																	
56	2	AY103	1A-rep3														NoAmplification																	
56	6	AY103	5B-rep1		-1	24.13895	80.83988		0.9999122	15703.66	0.7943548	1.952522	FALSE	FALSE	FALSE	3.36E-05										13	9217.98	1.36949	26.94251	11750.38	12.39212	2.274724		
56	7	AY103	5B-rep2		-1	23.60766	80.78248		0.9999011	16817.91	0.7953334	1.920429	FALSE	FALSE	FALSE	7.00E-05										18	10448.03	1.401419	26.45327	11044.98	-12.1403	2.057136		
56	8	AY103	5B-rep3		-1	24.42934	80.75034		0.9999654	8633.937	0.7747962	1.915106	FALSE	FALSE	FALSE	4.90E-05										14	6177.56	1.406918	27.28219	12940.45	-0.2485282	3.094751		
56	9	AY103	8B-rep1														NoAmplification																	
56	10	AY103	8B-rep2		-1	30.18223	80.4622		0.9999609	9293.152	0.5471465	1.8887	FALSE	FALSE	FALSE	1.24E-06	CtIsLarge									14	5971.554	1.435122	33.07222	12627.38	-22.10555	3.114588		
56	11	AY103	8B-rep3		-1	29.8855	80.63217		0.9999897	2108.838	0.5696186	1.913159	FALSE	FALSE	FALSE	1.02E-06	CtIsLarge									17	6214.261	1.408945	32.74102	12623.19	-14.59509	3.031327		
65	0	AY104	1A-rep1														NoAmplification																	
65	1	AY104	1A-rep2														NoAmplification																	
