Row	Column	Assay	Sample	Conc	Ct	Tm	Expected Tm	R2	Chi2	Straight R2	Efficiency	Multiple peaks	Outlier	Multimodal melt peaks	F0	Flags	S-DispenseTip	S-DropIndex	S-GlobalDropIndex	S-SP-Well	A-DispenseTip	A-DropIndex	A-GlobalDropIndex	A-SP-Well	Asymmetry	A	B	C	D	E	AmpRatio	Tm minus mean	Ct minus mean
0	0	AY1	1B-rep1	-1	27.84495	82.17771		0.9999894	2166.919	0.6494182	1.925429	False	False	False	3.55E-06										14	2915.922	1.396307	30.68383	12395.49	-7.090555	5.250969		
0	1	AY1	1B-rep2													NoAmplification																	
0	2	AY1	1B-rep3	-1	27.72568	82.38989		0.9999614	9908.099	0.6529996	1.967965	False	False	False	2.23E-06										14	3062.309	1.354838	30.50994	13416.2	-2.472837	5.381072		
0	3	AY1	2A-rep1	-1	14.27188	82.20769		0.9999636	9390.074	0.7450237	1.978223	False	False	False	0.04024811										27	9693.186	1.345347	17.04364	12783.31	-13.0982	2.318794		
0	4	AY1	2A-rep2	-1	14.74498	82.13605		0.9999908	2980.744	0.7750361	1.968511	False	False	False	0.03613518										18	6816.198	1.354328	17.52857	15095.46	-4.517151	3.214645		
0	5	AY1	2A-rep3	-1	14.57991	82.11548		0.9999863	4704.295	0.7716217	1.966381	False	False	False	0.04155908										12	7055.515	1.356321	17.36613	15111.53	6.152808	3.141804		
0	6	AY1	2B-rep1	-1	14.93741	82.0779		0.9999775	6300.072	0.7890086	1.984816	False	False	False	0.02583366										17	6653.659	1.339345	17.70127	14189.97	8.892839	3.132657		
0	7	AY1	2B-rep2	-1	15.08133	82.07191		0.9999919	2346.753	0.7901051	1.995114	False	False	False	0.02226005										22	6641.038	1.330121	17.83304	14796.12	2.505114	3.227983		
0	8	AY1	2B-rep3	-1	15.24784	81.99413		0.9999859	5373.333	0.7818941	1.978812	False	False	False	0.02328866										9	6239.092	1.344808	18.01889	15353.12	-1.156378	3.460794		
0	9	AY1	2C-rep1	-1	14.65872	81.90111		0.999975	6870.276	0.7678036	1.942276	False	False	False	0.04455707										20	6398.459	1.379459	17.47541	14147.88	-25.63596	3.211138		
