Row	Column	Assay	Sample	Conc	Ct	Tm	Efficiency	Flags
0	0	AY1	4B-rep1	-1	13.18	81.85	2.08	
0	1	AY1	4B-rep2	-1	13.33	81.87	1.98	
0	2	AY1	4B-rep3	-1	12.98	81.86	1.92	
0	3	AY1	4C-rep1	-1	13.6	81.87	1.96	
0	4	AY1	4C-rep2	-1	13.23	81.86	1.98	
0	5	AY1	4C-rep3	-1	13.33	81.87	1.94	
0	9	AY1	5A-rep1	-1	11.83	81.8	1.88	
0	10	AY1	5A-rep2	-1	11.76	81.74	1.91	
0	11	AY1	5A-rep3	-1	11.91	81.79	1.9	
0	0	AY1	5C-rep1	-1	12.49	82.35	2.29	SaturationBaselineRatioIsLow
0	1	AY1	5C-rep2	-1	12.14	82.34	2.11	
0	2	AY1	5C-rep3	-1	11.48	82.28	1.94	SaturationBaselineRatioIsLow
9	24	AY10	4B-rep1	-1	32.71	81.14	1.79	LowEfficiency. CtIsLarge
9	25	AY10	4B-rep2	-1				NoAmplification
9	26	AY10	4B-rep3	-1	29.59	80.89	1.8	LowEfficiency. CtIsLarge
9	27	AY10	4C-rep1	-1	29.8	80.97	1.84	CtIsLarge
9	28	AY10	4C-rep2	-1	28.86	81.11	1.75	LowEfficiency
9	29	AY10	4C-rep3	-1	28.39	81.03	1.83	
9	33	AY10	5A-rep1	-1	27.45	81.09	1.81	SaturationBaselineRatioIsLow
9	34	AY10	5A-rep2	-1	26.99	81.06	1.78	LowEfficiency. SaturationBaselineRatioIsLow
9	35	AY10	5A-rep3	-1	27.67	81.09	1.78	LowEfficiency. SaturationBaselineRatioIsLow
9	24	AY10	5C-rep1	-1				LowEfficiency. CurveFitFailed
9	25	AY10	5C-rep2	-1	26.75	81.12	1.83	SaturationBaselineRatioIsLow
9	26	AY10	5C-rep3	-1	28.11	81.12	1.83	
29	0	AY100	4B-rep1	-1	24.92	83.69	1.93	
29	1	AY100	4B-rep2	-1	24.83	83.93	1.93	
29	2	AY100	4B-rep3	-1	24.13	83.92	1.95	
29	3	AY100	4C-rep1	-1	23.9	83.89	1.91	
29	4	AY100	4C-rep2	-1	24.95	83.72	1.92	
29	5	AY100	4C-rep3	-1	24.34	83.75	1.92	
29	9	AY100	5A-rep1	-1	21.34	83.81	1.94	
29	10	AY100	5A-rep2	-1	21.19	83.8	1.92	
29	11	AY100	5A-rep3	-1	21	83.82	1.95	
29	0	AY100	5C-rep1	-1	23.44	83.94	1.94	
29	1	AY100	5C-rep2	-1	21.4	84.04	1.96	
29	2	AY100	5C-rep3	-1	21.98	84.07	1.96	
38	0	AY101	4B-rep1	-1	23.61	82.75	1.89	
38	1	AY101	4B-rep2	-1	22.74	82.8	1.88	
38	2	AY101	4B-rep3	-1	21.81	82.87	1.94	SaturationBaselineRatioIsLow
38	3	AY101	4C-rep1	-1	21.11	82.87	1.98	SaturationBaselineRatioIsLow
38	4	AY101	4C-rep2	-1	21.06	82.87	1.94	SaturationBaselineRatioIsLow
38	5	AY101	4C-rep3	-1	21.9	82.86	1.93	SaturationBaselineRatioIsLow
38	9	AY101	5A-rep1	-1				NoAmplification
38	10	AY101	5A-rep2	-1				NoAmplification
38	11	AY101	5A-rep3	-1				NoAmplification
38	0	AY101	5C-rep1	-1	20.03	83.2	1.93	SaturationBaselineRatioIsLow
38	1	AY101	5C-rep2	-1	20.04	83.18	1.92	SaturationBaselineRatioIsLow
38	2	AY101	5C-rep3	-1	18.41	83.21	1.99	SaturationBaselineRatioIsLow
47	0	AY102	4B-rep1	-1	29.26	78.84	1.91	
47	1	AY102	4B-rep2	-1				LowEfficiency. CtIsLarge. CurveFitFailed
47	2	AY102	4B-rep3	-1	33.02	84.28	1.86	CtIsLarge. MultipleMeltPeaks
47	3	AY102	4C-rep1	-1	29.31	78.67	1.92	MultipleMeltPeaks
47	4	AY102	4C-rep2	-1	27.42	78.47	1.91	MultipleMeltPeaks
47	5	AY102	4C-rep3	-1	34.95	85.86	1.81	CtIsLarge. MultipleMeltPeaks
47	9	AY102	5A-rep1	-1	28.08	78.84	1.96	MultipleMeltPeaks
47	10	AY102	5A-rep2	-1	27.02	79.01	1.96	
47	11	AY102	5A-rep3	-1	27.19	80.94	1.92	MultipleMeltPeaks
47	0	AY102	5C-rep1	-1	29.41	79.01	1.94	MultipleMeltPeaks
47	1	AY102	5C-rep2	-1				LowEfficiency. CtIsLarge. CurveFitFailed
47	2	AY102	5C-rep3	-1	28.13	78.82	1.96	MultipleMeltPeaks
56	0	AY103	4B-rep1	-1	28.65	80.41	1.92	
56	1	AY103	4B-rep2	-1	28.34	80.48	1.93	
56	2	AY103	4B-rep3	-1	27.88	80.63	1.92	
56	3	AY103	4C-rep1	-1	26	80.64	1.92	
56	4	AY103	4C-rep2	-1	27.74	80.64	1.9	
56	5	AY103	4C-rep3	-1	25.62	80.66	1.93	
56	9	AY103	5A-rep1	-1	23.95	80.65	1.96	
56	10	AY103	5A-rep2	-1	23.93	80.62	1.96	
56	11	AY103	5A-rep3	-1	24.36	80.6	1.95	
56	0	AY103	5C-rep1	-1	25.29	80.85	1.94	
56	1	AY103	5C-rep2	-1	25.45	80.87	1.94	
56	2	AY103	5C-rep3	-1	23.79	80.87	1.92	
65	0	AY104	4B-rep1	-1				NoAmplification
65	1	AY104	4B-rep2	-1				NoAmplification
65	2	AY104	4B-rep3	-1				NoAmplification
65	3	AY104	4C-rep1	-1				NoAmplification
65	4	AY104	4C-rep2	-1				NoAmplification
65	5	AY104	4C-rep3	-1				NoAmplification
65	9	AY104	5A-rep1	-1				NoAmplification
65	10	AY104	5A-rep2	-1	29.15	75.11	1.98	
65	11	AY104	5A-rep3	-1				NoAmplification
65	0	AY104	5C-rep1	-1				NoAmplification
65	1	AY104	5C-rep2	-1				NoAmplification
65	2	AY104	5C-rep3	-1				NoAmplification
2	24	AY105	4B-rep1	-1				NoAmplification
2	25	AY105	4B-rep2	-1				NoAmplification
2	26	AY105	4B-rep3	-1				NoAmplification
2	27	AY105	4C-rep1	-1				NoAmplification
2	28	AY105	4C-rep2	-1				NoAmplification
2	29	AY105	4C-rep3	-1				NoAmplification
2	33	AY105	5A-rep1	-1	27.5	88.19	1.84	
2	34	AY105	5A-rep2	-1	27.57	88.56	1.83	
2	35	AY105	5A-rep3	-1	27.67	88.63	1.82	
2	24	AY105	5C-rep1	-1				NoAmplification
2	25	AY105	5C-rep2	-1				NoAmplification
2	26	AY105	5C-rep3	-1				NoAmplification
11	24	AY106	4B-rep1	-1	25.82	77.58	1.97	
11	25	AY106	4B-rep2	-1	24.89	77.63	1.98	
11	26	AY106	4B-rep3	-1	26.81	77.47	1.96	
11	27	AY106	4C-rep1	-1	24.85	77.53	1.96	
11	28	AY106	4C-rep2	-1	24.82	77.65	2	
11	29	AY106	4C-rep3	-1	24.98	77.58	1.99	
11	33	AY106	5A-rep1	-1	22.57	77.48	2	
11	34	AY106	5A-rep2	-1	22.53	77.43	2.02	
11	35	AY106	5A-rep3	-1	22.5	77.35	2.04	
11	24	AY106	5C-rep1	-1	22.94	77.62	2.02	
