Assay	Gene	Target antibiotics (major)
AY1	16S rRNA_1	16S rRNA
AY2	16S rRNA_2	16S rRNA
AY94	aac(6)-Ib_1	Aminoglycoside
AY95	aac(6)-Ib_2	Aminoglycoside
AY172	aac(6)-Ib_3	Aminoglycoside
AY8	aac(6)-II	Aminoglycoside
AY7	aac(6)-Iy	Aminoglycoside
AY5	aac(6)I1	Aminoglycoside
AY93	aac3-VI	Aminoglycoside
AY6	aacA_aphD	Aminoglycoside
AY3	aacC2	Aminoglycoside
AY4	aacC4	Aminoglycoside
AY96	aadA_1	Aminoglycoside
AY97	aadA_2	Aminoglycoside
AY99	aadA_3	Aminoglycoside
AY101	aadA_4	Aminoglycoside
AY167	aadA_5	Aminoglycoside
AY169	aadA_6	Aminoglycoside
AY98	aadA5_1	Aminoglycoside
AY100	aadA5_2	Aminoglycoside
AY168	aadA9_1	Aminoglycoside
AY173	aadA9_2	Aminoglycoside
AY151	aadD	Aminoglycoside
AY174	aadE	Aminoglycoside
AY382	acc	Aminoglycoside
AY166	aph	Aminoglycoside
AY104	aph(2)-Ib	Aminoglycoside
AY105	aph(2)-Id	Aminoglycoside
AY15	aph6	Aminoglycoside
AY170	aphA1_7	Aminoglycoside
AY14	aphA3_1	Aminoglycoside
AY171	aphA3_2	Aminoglycoside
AY286	spcN_1	Aminoglycoside
AY287	spcN_2	Aminoglycoside
AY284	speA	Aminoglycoside
AY175	str	Aminoglycoside
AY176	strA	Aminoglycoside
AY177	strB	Aminoglycoside
AY130	catA1	Amphenicol
AY51	catB3	Amphenicol
AY52	catB8	Amphenicol
AY53	ceoA	Amphenicol
AY20	cmlA_1	Amphenicol
AY127	cmlA_2	Amphenicol
AY128	cmlA_3	Amphenicol
AY375	cmlA_4	Amphenicol
AY129	cmxA	Amphenicol
AY88	mdtL	Amphenicol
AY131	rarD_1	Amphenicol
AY132	rarD_2	Amphenicol
AY87	yidY_mdtL	Amphenicol
AY56	floR_1	Amphenicol
AY335	floR_2	Amphenicol
AY30	ampC_1	Beta Lactam
AY31	ampC_2	Beta Lactam
AY33	ampC_3	Beta Lactam
AY114	ampC_4	Beta Lactam
AY258	ampC_5	Beta Lactam
AY39	bla1	Beta Lactam
AY28	blaACC	Beta Lactam
AY29	blaACT_1	Beta Lactam
AY109	blaACT_2	Beta Lactam
AY110	blaACT_3	Beta Lactam
AY32	blaCMY_1	Beta Lactam
AY108	blaCMY_2	Beta Lactam
AY111	blaCMY_3	Beta Lactam
AY116	blaCTX-M_1	Beta Lactam
AY117	blaCTX-M_2	Beta Lactam
AY118	blaCTX-M_3	Beta Lactam
AY119	blaCTX-M_4	Beta Lactam
AY162	blaCTX-M_5	Beta Lactam
AY165	blaCTX-M_6	Beta Lactam
AY324	blaCTX-M_7	Beta Lactam
AY326	blaCTX-M_8	Beta Lactam
AY112	blaDHA	Beta Lactam
AY113	blaFOX	Beta Lactam
AY120	blaGES	Beta Lactam
AY148	blaIMP_1	Beta Lactam
AY242	blaIMP_2	Beta Lactam
AY327	blaIMP_3	Beta Lactam
AY244	blaKPC_1	Beta Lactam
AY323	blaKPC_2	Beta Lactam
AY367	blaKPC_3	Beta Lactam
AY48	blaL1	Beta Lactam
AY34	blaMOX_blaCMY	Beta Lactam
AY362	blaNDM	Beta Lactam
AY35	blaOCH	Beta Lactam
AY40	blaOKP	Beta Lactam
AY42	blaOXY	Beta Lactam
AY44	blaOXA_1	Beta Lactam
AY45	blaOXA_2	Beta Lactam
AY115	blaOXA_3	Beta Lactam
AY322	blaOXA_4	Beta Lactam
AY36	blaPDC	Beta Lactam
AY241	blaPER	Beta Lactam
AY43	blaPSE	Beta Lactam
AY41	blaROB	Beta Lactam
AY121	blaSFO	Beta Lactam
AY37	blaSHV_1	Beta Lactam
AY163	blaSHV_2	Beta Lactam
AY325	blaSHV_3	Beta Lactam
AY368	blaSME	Beta Lactam
AY259	blaSRT	Beta Lactam
AY164	blaTEM	Beta Lactam
AY122	blaTLA	Beta Lactam
AY38	blaVEB	Beta Lactam
AY147	blaVIM	Beta Lactam
AY123	blaZ	Beta Lactam
AY24	ccrA	Beta Lactam
AY107	cepA	Beta Lactam
AY106	cfxA	Beta Lactam
